lat,lon,type,country,continent,ch4_diff,ch4_ebu,obs_year,months,num_months,effective_obs_wtemp_k,surf_wtemp_k,cumulative_radiance,TP_ugL,littoral_area,surf_area_k,mean_depth,max_depth,wwf_biome,ref,,data_source
60.46,-161.45,lake,United States of America,North America,2,,1988,"7,8",2,,,,,,,,,,Bartlett et al 1992,,Johnson et al 2021
60.46,-161.45,lake,United States of America,North America,14.7,,1988,"7,8",2,,,,,,,,,,Bartlett et al 1992,,Johnson et al 2021
60.46,-161.45,lake,United States of America,North America,77,112,1988,"7,8",2,,,,,,,,,,Bartlett et al 1992,,Johnson et al 2021
60.46,-161.45,lake,United States of America,North America,3.8,,1988,"7,8",2,,,,,,,,,,Bartlett et al 1992,,Johnson et al 2021
59.96,15.508,lake,Sweden,Europe,0.689032119,,2000,7,1,289.15,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
59.9,15.392,lake,Sweden,Europe,1.151794073,,2000,7,1,290.95,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
59.924,15.453,lake,Sweden,Europe,3.091888058,,2000,7,1,290.85,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
59.913,15.406,lake,Sweden,Europe,3.978389639,,2000,7,1,291.45,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
59.915,15.464,lake,Sweden,Europe,7.198196058,,2000,7,1,290.35,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
59.942,15.398,lake,Sweden,Europe,11.97361594,,2000,7,1,289.45,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
59.891,15.258,lake,Sweden,Europe,12.33049496,,2000,7,1,285.85,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
57.083,14.533,lake,Sweden,Europe,0.520423588,,2000,7,1,289.65,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
57.14,14.712,lake,Sweden,Europe,3.10141873,,2000,7,1,290.25,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
57.156,14.416,lake,Sweden,Europe,2.965494221,,2000,7,1,289.65,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
57.11,14.479,lake,Sweden,Europe,2.506558535,,2000,7,1,290.05,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
57.128,14.7,lake,Sweden,Europe,2.037372055,,2000,7,1,289.75,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
57.163,14.51,lake,Sweden,Europe,1.097611609,,2000,7,1,290.05,,,,,,,,,Bastviken et al 2004,,Johnson et al 2021
62.11,130.34,lake,Russia,Asia,37.8,,2007,6,1,293,,,,,,,,,Encinas Fernandez et al 2016,,Johnson et al 2021
62.08,130.3,lake,Russia,Asia,118.7,,2007,6,1,294.8,,,,,,,,,Encinas Fernandez et al 2016,,Johnson et al 2021
61.06,-162.01,lake,United States of America,North America,44,,1998,"7,8",2,,,,,,,,,,Encinas Fernandez et al 2016,,Johnson et al 2021
64.47,76.58,lake,Russia,Asia,3.5,,1995,"7,8",2,,,,,,,,,,Galchenko et al 2001,,Johnson et al 2021
70.54,78.32,lake,Russia,Asia,12.7,,2010,8,1,281.55,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
70.54,78.32,lake,Russia,Asia,5.8,,2010,8,1,281.65,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
70.54,78.32,lake,Russia,Asia,8.9,,2010,8,1,281.25,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
70.54,78.32,lake,Russia,Asia,12,,2010,8,1,281.75,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
70.54,78.32,lake,Russia,Asia,7.9,,2010,8,1,281.95,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.35,78.91,lake,Russia,Asia,13,,2010,8,1,285.95,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.35,78.91,lake,Russia,Asia,13.2,,2010,8,1,286.05,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.35,78.91,lake,Russia,Asia,6.7,,2010,8,1,286.45,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.35,78.91,lake,Russia,Asia,6.5,,2010,8,1,284.05,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.35,78.91,lake,Russia,Asia,12.5,,2010,8,1,283.35,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.11,78.55,lake,Russia,Asia,70.3,,2009,8,1,289.75,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.11,78.55,lake,Russia,Asia,59.3,,2009,8,1,290.85,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.11,78.55,lake,Russia,Asia,25.2,,2009,8,1,291.55,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.11,78.55,lake,Russia,Asia,18,,2009,8,1,293.15,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.11,78.55,lake,Russia,Asia,17.3,,2009,8,1,290.65,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
67.11,78.55,lake,Russia,Asia,19.4,,2009,8,1,291.15,,,,,,,,,Golubyatnikov and Kazantsev 2013,,Johnson et al 2021
51.28,-80.37,lake,Canada,North America,160,,1990,"7,8,9,10",4,,,,,,,,,,Hamilton et al 1994,,Johnson et al 2021
51.3,-80.53,lake,Canada,North America,180,,1990,"7,8,9,10",4,,,,,,,,,,Hamilton et al 1994,,Johnson et al 2021
51.33,-81.5,lake,Canada,North America,110,,1990,"7,8,9,10",4,,,,,,,,,,Hamilton et al 1994,,Johnson et al 2021
63.03,27.56,lake,Finland,Europe,,41,1996,"7,8,9,10",4,281.7,,,,,,,,,Huttunen et al 2001,,Johnson et al 2021
67.1,27.4,lake,Finland,Europe,73,,1994,5,1,279.55,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
67.1,27.4,lake,Finland,Europe,7,,1994,6,1,290.25,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
67.1,27.4,lake,Finland,Europe,3,,1994,7,1,285.85,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
67.1,27.4,lake,Finland,Europe,17,,1994,7,1,288.55,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
67.1,27.4,lake,Finland,Europe,5.5,,1994,8,1,283.25,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
67.1,27.4,lake,Finland,Europe,2.8,,1994,9,1,285.95,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
68.05,27.06,lake,Finland,Europe,3.46,,1995,6,1,286.95,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
68.05,27.06,lake,Finland,Europe,3.46,,1995,7,1,288.65,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
68.05,27.06,lake,Finland,Europe,3.46,,1995,8,1,284.65,,,,,,,,,Huttunen et al 2002,,Johnson et al 2021
63.03,27.56,lake,Finland,Europe,,57.3,1996–1998,"6,7,8",3,,,,,,,,,,Huttunen et al 2003,,Johnson et al 2021
63.06,27.38,lake,Finland,Europe,37.42666667,,1995–2000,"5,6,7,8,9,10",6,,,,,,,,,,Juutinen et al 2003,,Johnson et al 2021
62.3,29.3,lake,Finland,Europe,8.02,,1995–2000,"5,6,7,8,9,10",6,,,,,,,,,,Juutinen et al 2003,,Johnson et al 2021
62.45,31,lake,Finland,Europe,7.128888889,,1995–2000,"5,6,7,8,9,10",6,,,,,,,,,,Juutinen et al 2003,,Johnson et al 2021
68,18,lake,Sweden,Europe,7.380368098,,2009–2011,"5,6,7,8,9,10",6,285.75,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,63.76625767,,2009–2011,"5,6,7,8,9,10",6,,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,5.904294479,,2009–2011,"5,6,7,8,9,10",6,281.15,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,8.462576687,,2009–2011,"5,6,7,8,9,10",6,286.25,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,2.952147239,,2009–2011,"5,6,7,8,9,10",6,287.3,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,10.43067485,,2009–2011,"5,6,7,8,9,10",6,285.65,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,4.133128834,,2009–2011,"5,6,7,8,9,10",6,285.85,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,4.231288344,,2009–2011,"5,6,7,8,9,10",6,284.32,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,12.00552147,,2009–2011,"5,6,7,8,9,10",6,285.15,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,8.856441718,,2009–2011,"5,6,7,8,9,10",6,285.45,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,3.444171779,,2009–2011,"5,6,7,8,9,10",6,285.75,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68,18,lake,Sweden,Europe,6.101226994,,2009–2011,"5,6,7,8,9,10",6,284.45,,,,,,,,,Karlsson et al 2013,,Johnson et al 2021
68.38,-149.38,lake,United States of America,North America,8.5,,1990,7,1,288.15,,,,,,,,,Kling et al 1992,,Johnson et al 2021
68.38,-149.37,lake,United States of America,North America,1.3,,1990,7,1,288.15,,,,,,,,,Kling et al 1992,,Johnson et al 2021
68.38,-149.36,lake,United States of America,North America,7.5,,1990,7,1,288.15,,,,,,,,,Kling et al 1992,,Johnson et al 2021
69.35,-149.38,lake,United States of America,North America,4.9,,1990,8,1,285.15,,,,,,,,,Kling et al 1992,,Johnson et al 2021
70.13,-149.28,lake,United States of America,North America,5,,1990,8,1,281.15,,,,,,,,,Kling et al 1992,,Johnson et al 2021
69.58,-149.44,lake,United States of America,North America,3.7,,1990,8,1,282.15,,,,,,,,,Kling et al 1992,,Johnson et al 2021
69.35,-149.38,lake,United States of America,North America,8,,1990,8,1,283.15,,,,,,,,,Kling et al 1992,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,0.6,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,0.6,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,2.9,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,0.8,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,0.8,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,1,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,0.5,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,1.1,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,2.2,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,0.5,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,1.4,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
55.16,-77.46,lake,Canada,North America,7.2,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,5.1,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,3.2,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,37.4,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,13.5,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,5.6,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,1.9,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,90.1,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,60.5,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,2.2,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,5.5,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,10.7,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,14,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,21.2,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,2.7,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,8.3,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,0.5,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,1.3,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,0.8,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,0.2,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,0.2,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
73.09,-79.58,lake,Canada,North America,0.5,,2006–2007,"6,7",2,,,,,,,,,,Laurion et al 2010,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,157.5,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,230,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,120,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,51.66666667,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,175,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,40,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,65,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,57.5,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,65,,2004–2005,"5,6,7,8",4,,,,,,,,,,McEnroe et al 2009,,Johnson et al 2021
51.2,-80.6,lake,Canada,North America,10.6,,1990,"6,7,8,9,10",5,286.15,,,,,,,,,Moore et al 1994,,Johnson et al 2021
54.48,-66.49,lake,Canada,North America,27.1,,1986–1988,"7,8",2,281.15,,,,,,,,,Moore and Knowles 1990,,Johnson et al 2021
69.33,-148.75,lake,United States of America,North America,41.2,,1987,"7,8",2,,,,,,,,,,Morrisey and Livingston 1992,,Johnson et al 2021
62,129.44,lake,Russia,Asia,255.2,,1993,8,1,,,,,,,,,,Nakayama et al 1994,,Johnson et al 2021
62,129.44,lake,Russia,Asia,21.4,,1993,8,1,,,,,,,,,,Nakayama et al 1994,,Johnson et al 2021
62,129.44,lake,Russia,Asia,133.1,,1993,8,1,,,,,,,,,,Nakayama et al 1994,,Johnson et al 2021
62,129.44,lake,Russia,Asia,267.9,,1993,8,1,,,,,,,,,,Nakayama et al 1994,,Johnson et al 2021
62,129.44,lake,Russia,Asia,829.8,,1993,8,1,,,,,,1.58,,,,Nakayama et al 1994,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,108,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,114,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,37,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,91,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,41,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,79,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,13,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,65,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,145,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,16,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,11,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,13,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.38,-77.43,lake,Canada,North America,41,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.34,-76.08,lake,Canada,North America,915,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.34,-76.08,lake,Canada,North America,190,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.34,-76.08,lake,Canada,North America,62,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.34,-76.08,lake,Canada,North America,45,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.34,-76.08,lake,Canada,North America,38,,2004,"6,7,8",3,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
53.54,-78.46,lake,Canada,North America,,58.5,2004,"7,8",2,,,,,,,,,,Pelletier et al 2007,,Johnson et al 2021
49.08,-68.17,lake,Canada,North America,28.1,,2011–2012,"6,7,8,9,10",5,292.65,,,,,,,,,Pelletier et al 2014,,Johnson et al 2021
49.08,-68.17,lake,Canada,North America,18.7,,2011–2012,"6,7,8,9,10",5,292.55,,,,,,,,,Pelletier et al 2014,,Johnson et al 2021
