ref,obs_year,country,continent,num_months_sampled,mean_ebu,sd_ebu,mean_diff,sd_diff,mean_obs_wtemp_k,sd_obs_wtemp_k,mean_cum_radiance,sd_cum_radiance,mean_TP_ugL,sd_TP_ugL,mean_littoral_area_km2,sd_littoral_area_km2,mean_surf_area_km2,sd_surf_area_km2,mean_depth_m,sd_mean_depth_m,max_depth_m,sd_max_depth_m,biome_type,lon,lat,geometry
Zhu et al 2010,2008,Antarctica,Antarctica,1,NA,NA,3.0528000000000004,0.5905755836470045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TUNDRA,76.333,-69.383,"c(4999549.04351986, -7646646.27719335)"
Ding et al 2013,2010,Antarctica,Antarctica,1,NA,NA,3.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TUNDRA,76.561,-69.157,"c(5026582.59007335, -7631452.98902337)"
Gerardo-Nieto et al 2017,2015,Chile,South America,12,NA,NA,9.12,NA,286.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEMPERATE BROADLEAF FOREST,-70.953,-53.604,"c(-5444067.57071457, -6340694.98074109)"
Gerardo-Nieto et al 2017,2015,Chile,South America,12,NA,NA,8.136,NA,280.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEMPERATE BROADLEAF FOREST,-71.007,-53.176,"c(-5468697.55344423, -6299469.58522367)"
Bastien and Demarty 2013,2006,Australia,Australia,3,NA,NA,0.451,NA,283.7672625,NA,59.3,NA,2.7,NA,6.29,NA,268,NA,140,NA,35,NA,TEMPERATE BROADLEAF FOREST,145.98,-42.73,"c(12187190.5209056, -5222131.90186825)"
Bastien and Demarty 2013,2008,Australia,Australia,4,NA,NA,0.798,NA,283.7672625,NA,59.3,NA,2.7,NA,3.28,NA,268,NA,56.3,NA,35,NA,TEMPERATE BROADLEAF FOREST,145.98,-42.73,"c(12187190.5209056, -5222131.90186825)"
Bastien and Demarty 2013,2006,Australia,Australia,3,NA,NA,0.741,NA,285.2593808,NA,63.8,NA,19.5,NA,14.47,NA,6,NA,43,NA,13.6,NA,TEMPERATE BROADLEAF FOREST,146.84,-42.61,"c(12268873.9163875, -5209047.83060305)"
Bastien and Demarty 2013,2008,Australia,Australia,4,NA,NA,1.532,NA,285.2593808,NA,63.8,NA,19.5,NA,14.47,NA,6,NA,43,NA,13.6,NA,TEMPERATE BROADLEAF FOREST,146.84,-42.61,"c(12268873.9163875, -5209047.83060305)"
Bastien and Demarty 2013,2006,Australia,Australia,3,NA,NA,1.538,NA,284.3131185,NA,67.3,NA,10,NA,NA,NA,2,NA,NA,NA,6.4,NA,TEMPERATE BROADLEAF FOREST,146.52,-42.39,"c(12260157.8500174, -5185023.21745496)"
Bastien and Demarty 2013,2008,Australia,Australia,4,NA,NA,11.726,NA,284.3131185,NA,67.3,NA,9.8,NA,NA,NA,3.297272159,NA,NA,NA,6.4,NA,TEMPERATE BROADLEAF FOREST,146.52,-42.39,"c(12260157.8500174, -5185023.21745496)"
Bastien and Demarty 2013,2006,Australia,Australia,3,NA,NA,0.978,NA,281.486109,NA,65.4,NA,4.6,NA,13.25,NA,41,NA,29,NA,12.6,NA,TEMPERATE BROADLEAF FOREST,146.26,-42.27,"c(12248179.3214127, -5171898.71981934)"
Bastien and Demarty 2013,2008,Australia,Australia,4,NA,NA,3.982,NA,281.486109,NA,65.4,NA,4.6,NA,13.25,NA,41,NA,29,NA,12.6,NA,TEMPERATE BROADLEAF FOREST,146.26,-42.27,"c(12248179.3214127, -5171898.71981934)"
Bastien and Demarty 2013,2006,Australia,Australia,3,NA,NA,2.773,NA,281.4337542,NA,65.4,NA,8.9,NA,NA,NA,0.171254375,NA,NA,NA,0.2,NA,TEMPERATE BROADLEAF FOREST,146.23,-42.13,"c(12257040.1559928, -5156568.90993477)"
Bastien and Demarty 2013,2006,Australia,Australia,3,NA,NA,8.672,NA,280.2874943,NA,68,NA,8.8,NA,96.06,NA,1,NA,4,NA,1.2,NA,TEMPERATE BROADLEAF FOREST,146.59,-42.01,"c(12296960.9755861, -5143413.79619978)"
Bastien and Demarty 2013,2008,Australia,Australia,4,NA,NA,13.772,NA,280.2874943,NA,68,NA,8.8,NA,96.06,NA,1,NA,4,NA,1.2,NA,TEMPERATE BROADLEAF FOREST,146.59,-42.01,"c(12296960.9755861, -5143413.79619978)"
Bastien and Demarty 2013,2006,Australia,Australia,3,NA,NA,1.163,0.4384062043356595,280.2968671,0,68,0,NA,NA,76.52000000000001,32.39963271396761,176,0,28,0,2.1,2.1213203435596424,TEMPERATE BROADLEAF FOREST,146.73,-41.98,"c(12311139.9467891, -5140122.82128387)"
Bastien and Demarty 2013,2008,Australia,Australia,4,NA,NA,4.129,NA,280.2968671,NA,68,NA,NA,NA,53.61,NA,176,NA,28,NA,3.6,NA,TEMPERATE BROADLEAF FOREST,146.73,-41.98,"c(12311139.9467891, -5140122.82128387)"
Bastien and Demarty 2013,2008,Australia,Australia,4,NA,NA,3.426,NA,282.607286,NA,65.4,NA,2.8,NA,NA,NA,4.743344227,NA,NA,NA,6.5,NA,TEMPERATE BROADLEAF FOREST,145.61,-41.9,"c(12223603.9474898, -5131342.60348981)"
Bastien et al 2009,2006,Australia,Australia,3,NA,NA,1.852,NA,282.607286,NA,65.4,NA,3,NA,NA,NA,3.83,NA,NA,NA,6.5,NA,TEMPERATE BROADLEAF FOREST,145.61,-41.9,"c(12223603.9474898, -5131342.60348981)"
